Time	pitch	roll	yawt	magErr	temperature	magp X	magp Y	magp Z	accelp X	accelp Y	accelp Z	gyrop X	gyrop Y	gyrop Z
820	0.00098492	0.49130097	359.77343750	1.11271954	29.87100220	248.15614319	56.16620636	388.51419067	0.05736065	7.77359867	1000.08789062	-0.00001038	-0.00001415	0.00001097	
840	0.00086943	0.49276364	359.77731323	2.81824040	29.87100220	247.54141235	53.23146057	388.36865234	-0.06064367	7.77883244	1000.53521729	-0.00000061	-0.00004674	-0.00003461	
860	-0.00166607	0.49297670	359.77401733	0.79747283	29.87100220	246.46664429	56.46985626	389.09725952	1.49170971	9.33354855	999.08850098	-0.00000027	-0.00002656	-0.00000174	
880	-0.00376280	0.49192223	359.77072144	0.25889355	29.87100220	246.90476990	56.20721817	388.32501221	0.90043831	7.93176413	999.39807129	-0.00001568	-0.00001904	-0.00001145	
900	-0.00343482	0.49200970	359.77288818	0.39249212	29.87100220	247.38369751	55.69375229	389.26037598	0.42721128	7.29872656	1000.22253418	0.00005888	-0.00002988	-0.00004198	
920	-0.00466240	0.49656725	359.77053833	0.68189067	29.87100220	247.52685547	56.68581009	388.79214478	-1.02919579	8.26363754	1001.49615479	0.00004271	0.00001574	0.00002456	
940	-0.00473417	0.49646163	359.77304077	0.54409391	29.87100220	246.51794434	56.41427994	388.48873901	0.29687262	8.99164200	1001.16485596	0.00000989	0.00004740	0.00002376	
960	-0.00035395	0.49744236	359.77822876	1.53780413	29.87100220	247.67701721	54.59732056	389.18164062	-1.20437145	7.42262888	998.74133301	0.00003519	0.00000427	0.00000818	
980	-0.00045352	0.49761537	359.77551270	0.23031034	29.87100220	246.56793213	55.99587631	388.42330933	-0.45181179	8.33604050	997.75024414	0.00002459	0.00000468	-0.00004131	
1000	0.00292110	0.49993291	359.77423096	0.48759854	29.87100220	246.42297363	56.41181946	388.21047974	-0.39249468	8.08653641	999.87451172	-0.00002562	0.00002681	0.00000094	
1020	0.00459123	0.49801183	359.77444458	0.40601346	29.87100220	246.80715942	56.41632462	388.43917847	-1.29384708	9.07592106	999.68481445	-0.00002757	-0.00000711	-0.00004004	
1040	0.00565503	0.49440634	359.77301025	0.55171746	29.87100220	246.37541199	55.68176651	388.63229370	-0.38317728	7.77810097	1000.69580078	-0.00001393	-0.00003692	0.00005102	
1060	0.00371328	0.49459338	359.77493286	0.27218327	29.87100220	246.37619019	56.04526138	388.19976807	-0.06405449	7.77245522	1000.08703613	0.00003949	-0.00001033	0.00000675	
1080	0.00294131	0.49741557	359.77740479	0.21262252	29.87100220	246.71505737	55.99372864	387.87332153	-0.07587576	8.56499195	999.54113770	-0.00003860	-0.00002159	-0.00003009	
1100	-0.00070218	0.49623999	359.77392578	1.00780344	29.87100220	247.66987610	57.00118637	388.85864258	-0.08151102	8.10640430	998.24652100	-0.00003971	0.00000736	-0.00000180	
1120	0.00033862	0.49375224	359.77453613	0.27555987	29.87100220	246.71569824	55.68054199	387.97555542	-0.30733538	7.52493191	999.72363281	0.00004191	0.00001872	0.00001473	
1140	0.00196958	0.49082577	359.77749634	0.92691725	29.87100220	247.39028931	55.21698380	388.25280762	0.41483164	8.37534332	999.95593262	-0.00004501	-0.00003340	0.00000914	
1160	-0.00197974	0.48825732	359.78091431	0.85401130	29.87100220	246.18162537	56.56676483	388.20986938	0.88549137	9.20724106	999.04602051	-0.00000577	0.00002878	0.00000373	
1180	-0.00039463	0.48564097	359.78192139	0.80036914	29.87100220	246.90473938	55.21801758	389.07247925	-0.68464947	8.47463036	999.21258545	0.00001298	0.00006845	0.00002725	
1200	0.00163581	0.48669025	359.77960205	1.16005242	29.87100220	245.93817139	56.56811905	388.75790405	-0.71346807	7.92579365	1000.03851318	-0.00006477	0.00000703	-0.00002189	
1220	0.00391074	0.48546499	359.78082275	0.27705741	29.87100220	246.56983948	55.62905121	388.30303955	0.05645609	7.28312445	999.36450195	0.00001411	0.00000359	0.00003912	
1240	0.00449166	0.48229429	359.78320312	1.08204949	29.87100220	245.84399414	56.56465912	388.31375122	-0.32322216	8.96158028	999.44964600	-0.00000511	-0.00000924	0.00002887	
1260	0.00551484	0.48311123	359.78372192	0.61158538	29.87100220	246.81065369	55.26653290	388.57443237	1.01473141	7.75666332	998.26159668	-0.00005419	0.00000440	0.00002838	
1280	0.00416298	0.48398674	359.79119873	0.28151932	29.87100220	247.14646912	55.73941803	388.48306274	0.78351355	8.02048111	1000.08807373	0.00002036	0.00000236	-0.00001276	
1300	0.00439865	0.48573217	359.78945923	0.84297079	29.87100220	247.09407043	56.73355484	388.61907959	-0.54806614	7.40437317	999.84661865	-0.00002763	-0.00002097	-0.00003470	
1320	0.00334695	0.48510662	359.78582764	0.81148332	29.87100220	246.90879822	55.05675888	388.34967041	-0.08012867	8.35338116	998.73040771	0.00003122	0.00000310	-0.00003238	
1340	-0.00257225	0.48017681	359.78353882	0.73748475	29.87100220	246.51861572	56.51756668	388.27041626	-0.57001019	9.07408810	999.07891846	-0.00003970	-0.00001094	0.00001564	
1360	-0.00300954	0.48117024	359.78628540	0.30293337	29.87100220	247.29035950	55.89752960	388.49008179	0.39522600	9.80503845	999.19317627	-0.00001157	-0.00001807	0.00005980	
1380	-0.00458769	0.47764128	359.79232788	1.44494224	29.87100220	246.62261963	54.32206726	388.32449341	-0.67949677	7.75109005	998.98297119	-0.00002634	0.00003416	-0.00000517	
1400	-0.00326672	0.47655040	359.79116821	0.61989218	29.87100220	246.95486450	56.25725555	387.88504028	-0.29386330	7.79451275	1001.79626465	-0.00002595	-0.00001895	-0.00000692	
1420	-0.00462032	0.47667062	359.79071045	1.06138408	29.87100220	247.33526611	56.83915710	388.46081543	-0.69397545	8.94597816	998.59161377	0.00002900	-0.00004364	0.00000491	
1440	-0.00836728	0.48009437	359.79293823	0.53484923	29.87100220	247.15014648	55.68277740	387.76300049	-0.19410276	8.36614895	999.70727539	0.00005735	0.00001927	0.00001835	
1460	-0.00680977	0.48325062	359.79306030	0.60447717	29.87100220	246.08972168	56.24812317	387.53622437	-0.07295227	8.97777843	1000.42907715	-0.00004215	-0.00000334	-0.00002947	
1480	-0.00607914	0.47899839	359.79153442	1.04995763	29.87100220	246.56843567	55.00601196	389.06024170	-0.20173120	7.49651432	997.64691162	0.00002679	-0.00000626	-0.00003223	
1500	-0.00669398	0.48145294	359.78826904	0.36110753	29.87100220	246.90255737	56.15790558	388.82113647	-0.54134274	7.78353214	1001.18353271	-0.00005320	-0.00000021	-0.00004066	
1520	-0.00526644	0.47915432	359.78762817	0.26119494	29.87100220	246.76213074	55.57899094	388.41598511	0.78795052	7.66218853	1000.21771240	-0.00002766	-0.00005307	-0.00001181	
1540	-0.01419728	0.47673634	359.79165649	1.42613757	29.87100220	245.41577148	55.04481125	388.37539673	0.77020454	9.09535980	999.69934082	0.00002592	0.00002982	0.00002227	
1560	-0.01171662	0.47943297	359.79119873	0.31389338	29.87100220	247.48170471	55.95275497	388.71646118	0.78053522	7.15954161	998.63879395	0.00005860	-0.00001049	0.00001036	
1580	-0.00951161	0.48182017	359.79534912	0.65401334	29.87100220	246.47151184	55.52663803	388.79586792	-1.15468645	7.64389324	1000.20404053	0.00001733	-0.00001791	-0.00001027	
1600	-0.01146730	0.48192269	359.79418945	0.42018145	29.87100220	246.52021790	55.73460007	388.52597046	0.77535677	8.37181854	999.46966553	-0.00004270	-0.00000929	0.00000063	
1620	-0.01020240	0.48011881	359.79528809	1.56246257	29.87100220	246.14256287	54.21215439	388.09106445	0.57170391	7.91944170	998.74401855	0.00000992	0.00001158	0.00006163	
1640	-0.00888400	0.48180759	359.79772949	0.81720585	29.87100220	246.28067017	55.26250839	388.61926270	0.15685749	8.95572090	998.71978760	0.00002370	-0.00000673	0.00005569	
1660	-0.00985358	0.48282197	359.80346680	0.73516399	29.87100220	246.37408447	55.68343353	388.90869141	0.23765755	8.71182632	998.39941406	-0.00000232	0.00001876	-0.00002023	
1680	-0.00842863	0.48086527	359.80581665	0.86059505	29.87100220	247.63070679	55.74005127	387.93978882	-1.03093481	7.40501595	1000.20983887	0.00000006	0.00002369	-0.00000002	
1700	-0.00629536	0.47989199	359.80642700	1.29186916	29.87100220	247.63491821	54.90177917	387.69641113	-0.05844879	7.29415274	1000.21911621	-0.00001755	-0.00001416	0.00003428	
1720	-0.00765778	0.47914758	359.80615234	0.84312916	29.87100220	245.94227600	56.04236603	388.30175781	0.03174782	8.45888519	997.62896729	-0.00001227	0.00004932	-0.00000316	
1740	-0.00715133	0.48512566	359.80319214	0.21882610	29.87100220	247.14288330	56.05626678	388.98895264	-0.55845213	8.89203739	1000.34576416	-0.00006809	0.00003829	-0.00000034	
1760	-0.00341402	0.48105502	359.80673218	0.76917690	29.87100220	246.80340576	56.42098999	389.21313477	-1.41921997	9.18957138	999.31488037	-0.00004565	-0.00000413	-0.00000763	
1780	-0.00471838	0.47606328	359.80584717	0.88347638	29.87100220	246.76106262	55.00759506	389.06405640	0.43404865	6.98565388	1000.71795654	-0.00001360	-0.00001743	-0.00003104	
1800	-0.00554389	0.47340074	359.80889893	1.70647097	29.87100220	246.81428528	54.01246643	388.76220703	-0.07622004	9.21606064	1000.30194092	-0.00002302	0.00000379	-0.00003492	
1820	-0.00912545	0.46947086	359.81146240	1.23168015	29.87100220	247.10035706	54.48694611	389.00155640	0.57790470	7.93103456	999.55883789	-0.00000455	0.00001811	-0.00002994	
1840	-0.00791678	0.47099757	359.80816650	0.32693613	29.87100220	247.19314575	55.42929459	389.02847290	-0.56464386	8.71753407	999.33068848	0.00000747	0.00001697	0.00001505	
1860	-0.00454207	0.47432452	359.81030273	0.55226475	29.87100220	247.04945374	55.21886826	389.02005005	0.40014791	9.04033279	998.88281250	-0.00002548	0.00005532	-0.00001060	
1880	-0.00036798	0.46956941	359.80960083	0.74628592	29.87100220	247.81993103	55.79793930	388.60833740	-0.07383156	7.99856758	999.10449219	-0.00002485	-0.00000459	0.00002827	
1900	0.00051757	0.46420848	359.80819702	0.63801038	29.87100220	246.56504822	56.05151367	388.97750854	-0.19221783	7.88088989	999.35046387	-0.00004111	0.00000595	-0.00000249	
1920	-0.00118868	0.46188596	359.81097412	1.29981840	29.87100220	246.47090149	56.82902527	387.94610596	0.39012289	9.55110455	998.22039795	0.00006318	0.00002957	-0.00000880	
1940	0.00417909	0.46105009	359.80902100	1.13941157	29.87100220	246.03535461	56.41164780	388.70037842	0.72611713	8.55870438	998.56909180	-0.00003169	0.00002651	0.00006860	
1960	0.00511491	0.45946813	359.81408691	1.42986691	29.87100220	245.69778442	56.46151733	388.75036621	-0.55717754	8.24270821	999.70715332	-0.00000488	-0.00000495	0.00004765	
1980	0.00416375	0.45925391	359.81771851	1.28647447	29.87100220	245.88973999	55.78709030	389.39947510	0.09656715	8.26039886	1000.52648926	0.00000702	-0.00003968	-0.00000619	
2000	0.00211439	0.46153840	359.81365967	0.53691691	29.87100220	246.95018005	56.15896988	388.93264771	0.41833830	8.01531219	999.96331787	0.00004737	-0.00000574	-0.00003612	
2020	0.00041131	0.46684200	359.81161499	0.62949878	29.87100220	246.13682556	55.31262970	388.45190430	0.78795052	7.66218853	1000.21771240	0.00002478	-0.00002539	0.00000707	
2040	-0.00264030	0.47085729	359.81481934	0.28678960	29.87100220	246.61625671	55.73572922	388.58312988	-0.05704117	7.05239201	1000.10180664	0.00001009	-0.00004277	0.00002236	
2060	-0.00600859	0.47229233	359.81167603	1.13290536	29.87100220	246.13041687	56.30982590	389.03115845	0.53181076	8.73478031	999.82720947	0.00004717	0.00002303	0.00002295	
2080	-0.00365952	0.47545448	359.81018066	0.45736542	29.87100220	247.38667297	55.89832306	388.49200439	0.28712082	8.72901630	999.58111572	-0.00004061	0.00001858	-0.00004392	
2100	-0.00490895	0.47212979	359.80249023	0.25243071	29.87100220	247.23994446	56.00408554	388.87890625	-0.32643938	8.22238922	998.12011719	0.00003894	-0.00000893	0.00002859	
2120	-0.00659031	0.47629198	359.80456543	0.41709560	29.87100220	246.80595398	55.94920731	389.03475952	-0.43554926	8.61083794	1000.18945312	-0.00000158	-0.00004711	0.00004053	
2140	-0.00864408	0.47643682	359.80062866	0.31693724	29.87100220	246.90245056	55.89768982	389.03527832	0.77089548	9.21884727	999.94128418	0.00002921	-0.00002108	0.00001300	
2160	-0.00738295	0.47919953	359.80197144	1.10466433	29.87100220	246.70738220	56.83633423	388.83541870	0.77208948	8.61010170	999.34252930	0.00002566	0.00003080	-0.00001752	
2180	-0.00665160	0.48116881	359.80242920	0.52431130	29.87100220	247.76971436	55.48768997	389.26245117	0.17178822	8.00607014	999.47277832	0.00006622	0.00003673	0.00000990	
2200	-0.00426064	0.48574957	359.80569458	0.58990443	29.87100220	247.42944336	56.47811127	389.17166138	-0.44532681	8.83694839	999.20690918	0.00000580	0.00001788	-0.00001124	
2220	-0.00486447	0.48560372	359.80242920	0.33459648	29.87100220	246.71279907	56.10068130	388.26312256	-0.68653488	8.95988941	999.56933594	-0.00001581	0.00000673	-0.00005302	
2240	-0.00014968	0.48073813	359.79940796	0.91365224	29.87100220	246.86251831	54.84579849	388.12207031	-0.67439461	8.00502110	999.95562744	-0.00004895	0.00001459	0.00002980	
2260	0.00032929	0.47865474	359.80383301	1.29752815	29.87100220	245.31697083	55.56776810	388.49795532	-0.67298698	7.76326084	999.83837891	0.00004248	-0.00002497	0.00002644	
2280	-0.00048498	0.48092735	359.80682373	1.32820785	29.87100220	247.15333557	54.48134613	388.00744629	0.72175980	8.87641335	998.39953613	-0.00001653	-0.00000718	-0.00003861	
2300	0.00064862	0.47704679	359.80300903	0.32770821	29.87100220	247.00083923	56.05208206	388.48852539	-0.06734657	8.49947453	1000.56115723	-0.00005282	0.00004922	-0.00003360	
2320	0.00475864	0.47083199	359.79803467	0.96692479	29.87100220	247.48579407	55.99973679	387.83331299	-0.21909523	7.29494667	1000.38092041	-0.00000495	0.00000753	0.00003178	
2340	0.01041216	0.47384351	359.80679321	0.84333724	29.87100220	246.81275940	54.84740067	388.45272827	-0.31992865	8.23456192	998.97564697	-0.00003288	0.00004301	-0.00001040	
2360	0.01274135	0.47418365	359.80703735	0.87891507	29.87100220	246.76171875	54.90264130	389.00601196	0.16618299	8.48437309	999.34075928	0.00002365	0.00002550	0.00001185	
2380	0.01222270	0.47698241	359.80688477	0.50557238	29.87100220	247.38546753	56.00394440	388.66067505	-0.07481241	8.97430038	1000.18463135	0.00000199	-0.00001636	-0.00000335	
2400	0.00927074	0.47827402	359.80752563	0.35962754	29.87100220	247.09408569	56.16082001	389.04605103	-0.08207655	8.55339909	998.72631836	0.00005442	-0.00007878	-0.00000317	
2420	0.00441308	0.47861734	359.81039429	1.38537908	29.87100220	246.71604919	54.37849808	388.88061523	0.90423822	7.89813614	999.84698486	0.00003749	0.00002323	0.00000501	
2440	0.00368992	0.48008674	359.80828857	1.24902630	29.87100220	246.47677612	54.47879791	388.49163818	1.04054022	9.52183723	998.55169678	0.00001680	0.00002433	-0.00001813	
2460	0.00499898	0.48005798	359.80587769	0.49857920	29.87100220	247.14808655	55.73741913	388.15142822	0.53021431	8.12081623	998.86181641	0.00003918	0.00005740	0.00000543	
2480	0.01412145	0.48107669	359.80862427	1.18956149	29.87100220	247.91877747	55.11872482	388.59216309	-1.19324398	8.09514427	1001.00952148	-0.00001317	0.00000626	0.00001383	
2500	0.00992923	0.48076999	359.81112671	1.11708474	29.87100220	246.18879700	54.57937622	388.21228027	-0.06052256	6.92368793	999.49322510	-0.00005598	-0.00004132	0.00001989	
2520	0.00704435	0.47818565	359.81756592	2.57303190	29.87100220	247.49484253	53.22906494	388.03601074	-0.09702396	9.82887459	998.37414551	0.00002749	0.00000113	0.00006466	
2540	0.00810632	0.48122910	359.82934570	0.54716551	29.87100220	247.14877319	55.26797104	388.35998535	0.04638958	8.60845757	999.70404053	-0.00000043	-0.00003588	-0.00001891	
2560	0.00687980	0.47953451	359.82894897	0.05924462	29.87100220	246.52342224	55.52236938	388.02285767	-1.05870533	9.34895897	999.02905273	0.00003862	-0.00002842	-0.00000050	
2580	0.00626241	0.48090583	359.83422852	1.53462398	29.87100220	247.72740173	54.28253174	388.95309448	-0.54501247	6.79910374	999.49230957	0.00000997	-0.00000173	-0.00002983	
2600	0.00726752	0.47817463	359.83407593	1.04998612	29.87100220	247.67906189	54.90717316	388.52658081	0.09376812	8.41809464	1000.36016846	-0.00001981	-0.00000972	0.00002231	
2620	0.00397510	0.47664252	359.83804321	0.75530970	29.87100220	247.14988708	54.90214920	388.40551758	0.65720987	8.13239384	999.59600830	0.00002061	0.00000440	0.00001884	
2640	0.00577424	0.47614953	359.84695435	0.66861576	29.87100220	246.33154297	54.89508057	388.33407593	-0.87846994	8.24429703	1000.03082275	-0.00005891	0.00007075	0.00002258	
2660	0.00881772	0.47354114	359.85675049	1.80382097	29.87100220	247.63180542	53.81230927	389.15982056	0.04729414	9.09893227	1000.42749023	-0.00000109	-0.00004326	-0.00000234	
2680	0.00454500	0.47410297	359.85580444	1.09025872	29.87100220	245.60594177	55.41389084	388.61010742	-1.15559196	7.15341806	999.48065186	0.00003435	0.00002274	-0.00003028	
2700	0.00370499	0.47580892	359.85702515	1.42440033	29.87100220	246.71704102	54.11695862	388.87365723	-0.43533564	8.97782516	1000.67089844	0.00005553	-0.00001839	-0.00000601	
2720	0.00075951	0.48186186	359.85791016	0.58037454	29.87100220	246.56706238	55.37216949	389.06997681	0.15127754	8.94528770	997.98657227	0.00000998	0.00000486	-0.00003517	
2740	-0.00372056	0.48533985	359.85800171	1.56029785	29.87100220	246.65960693	57.09582138	388.56497192	-0.18945312	8.37484264	1000.31829834	0.00002015	-0.00001273	-0.00003283	
2760	-0.00159007	0.48270425	359.85366821	0.43539256	29.87100220	246.80703735	55.94787598	388.81365967	-1.19445086	7.44117785	1000.04498291	0.00003084	0.00000798	0.00001045	
2780	-0.00441662	0.48737487	359.84725952	1.14934468	29.87100220	245.70132446	56.30093002	388.13812256	-0.42011642	6.92895126	1000.10168457	-0.00004335	0.00000670	-0.00000096	
2800	-0.00300436	0.48232874	359.84780884	0.61620593	29.87100220	246.67024231	54.89585495	388.00903320	0.89772844	7.88596535	998.99157715	-0.00003618	-0.00001738	-0.00000379	
2820	-0.00151554	0.48106313	359.84356689	0.87935996	29.87100220	247.52957153	56.31798553	388.50598145	0.04755831	8.48844624	999.70654297	-0.00002196	0.00000855	0.00001237	
2840	0.00131476	0.47978190	359.84262085	0.21028773	29.87100220	247.09526062	55.84696960	389.03771973	-0.44367981	8.47344017	998.96990967	-0.00001012	-0.00003782	-0.00004210	
2860	-0.00095655	0.47634828	359.84429932	0.35506585	29.87100220	247.04698181	55.95085907	388.98425293	-0.19620132	8.48442078	999.58264160	0.00001270	0.00002119	0.00002476	
2880	0.00085327	0.47168657	359.84158325	0.14021637	29.87100220	246.47479248	55.57461548	388.07858276	-0.04909801	6.33406878	1000.23883057	-0.00002637	0.00001155	0.00000487	
2900	0.00087155	0.46954295	359.84423828	0.66297436	29.87100220	246.95668030	54.84925842	388.56616211	0.77068138	8.85186005	999.45983887	0.00001090	-0.00002604	0.00001695	
2920	0.00067100	0.47287309	359.84762573	0.56866014	29.87100220	246.95144653	56.10532761	388.71014404	0.63452387	10.65609264	999.78863525	-0.00003998	-0.00000695	-0.00003843	
2940	-0.00147794	0.46748090	359.85040283	0.15721469	29.87100220	247.43029785	55.74812698	389.53915405	-0.78996658	7.40382481	999.96710205	-0.00000953	0.00002019	-0.00000813	
2960	0.00023039	0.46399307	359.85333252	0.87141997	29.87100220	248.05999756	54.91567612	389.41873169	-0.55996799	8.23749161	999.34051514	-0.00002071	-0.00003147	0.00001197	
2980	-0.00377546	0.46287894	359.85189819	0.81136000	29.87100220	246.61618042	54.90279007	389.22427368	0.66746473	7.66278362	1000.33905029	0.00000951	-0.00000852	0.00001377	
3000	-0.00322532	0.46417183	359.85711670	0.56295758	29.87100220	246.90824890	54.84919357	388.62054443	-0.44647026	8.46822262	998.60321045	-0.00000133	0.00000241	0.00002801	
